存货编码,一级类别,二级类别,存货名称,英文名,规格型号,存货代码,存货大类编码,存货大类名称,主计量单位名称,默认仓库名称
1011012,零配件,,六角头螺栓,"SCREW,M10X12",M10×12 GB/T5783-2000 镀蓝锌,,MC10,六角头螺栓、螺柱类,个,原材料仓
1011016,零配件,,六角头螺栓,SCREW M10x16 HEX,M10×16 GB/T5783-2000 镀蓝锌,,MC10,六角头螺栓、螺柱类,个,原材料仓
1011025,零配件,,六角头螺栓,"BOLT, HEX HEAD, M10×25",M10×25(GB/T 5783-2000)镀镍,,MC10,六角头螺栓、螺柱类,个,原材料仓
1011040,零配件,,六角头螺栓,HEX HEAD BOLT,M10×40(GB/T 5783-2000)镀镍,,MC10,六角头螺栓、螺柱类,个,原材料仓
1011545,零配件,,六角头螺栓,HEX HEAD BOLT,M5×45(GB/T 5783-2000)镀镍,,MC10,六角头螺栓、螺柱类,个,原材料仓
1011550,零配件,,六角头螺栓,HEX HEAD BOLT,M5×50(GB/T 5782-2000)镀镍,,MC10,六角头螺栓、螺柱类,个,原材料仓
1011555,零配件,,六角头螺栓,HEX HEAD BOLT,M5×55(GB/T 5783-2000)镀镍,,MC10,六角头螺栓、螺柱类,个,原材料仓
1011625,零配件,,六角头螺栓,HEX HEAD BOLT  M6×25,M6×25(GB/T 5783-2000)镀蓝锌,,MC10,六角头螺栓、螺柱类,个,原材料仓
1013008,零配件,,六角头螺栓,HEX HEAD BOLT,"3/8×3/4""(参考GB/T 5783-2000)镀镍",,MC10,六角头螺栓、螺柱类,个,原材料仓
1014675,零配件,,外六角螺栓,Bolt 1/4-20×7.5″,"ROHS，1/4-20×7.5″b=29mm,镀镍",RD20386GP,MC10,六角头螺栓、螺柱类,个,原材料仓
1021020,零配件,,六角头螺栓,HEX BOLT M10×20,"M10x20(GB/T5783-2000), 304不锈钢",,MC10,六角头螺栓、螺柱类,个,
1021025,零配件,,六角头螺栓,"Screw, RHM, M10X25, SST","M10x25(GB/T5783-2000), 304不锈钢",,MC10,六角头螺栓、螺柱类,个,
1021030,零配件,,六角头螺栓,HEX BOLT M10 X 30,M10X30 不锈钢 GB/T5783-2000,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021050,零配件,,六角头螺栓,"BOLT, HEX HEAD, M10×60",M10×50，不锈钢，GB/T5783-2000,,MC10,六角头螺栓、螺柱类,个,
1021060,零配件,,六角头螺栓,"BOLT, HEX HEAD, M10×60",M10×60，不锈钢，GB/T5783-2000,,MC10,六角头螺栓、螺柱类,个,
1021065,零配件,,六角头螺栓,SCREW M10x65 HEX,M10X65 GB/T5783-2000）全螺纹 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021070,零配件,,六角头螺栓,HEX HEAD BOLT,M10×70，不锈钢 GB/T5783-2000,,MC10,六角头螺栓、螺柱类,个,
1021230,零配件,,六角头螺栓,HEX BOLT M12 ×30,M12×30 GB/T5783-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021240,零配件,,全螺纹六角头螺栓(车架桶身连接),"SCREW, HEX, M12X40",M12×40(GB/T5783-2000) 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021320,零配件,,六角头螺栓,SCREW M3×20,M3X20 GB/T5783-2000,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021420,零配件,,六角头螺栓,HEX HEAD BOLT,M4x20（GB/T5783-2000）不锈钢,,MC10,六角头螺栓、螺柱类,个,
1021430,零配件,,六角头螺栓,HEX HEAD BOLT,M4x30（GB/T5783-2000）不锈钢,,MC10,六角头螺栓、螺柱类,个,
1021512,零配件,,六角头螺栓,"HEX HEAD BOLT  M5×12,SS",M5×12 GB/T5783-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021516,零配件,,六角头螺栓,"Screw, RHM, M5X16, SST",M5×16(GB/T 5783-2000) 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021525,零配件,,六角头螺栓,"Screw, RHM, M5X25, SST",M5×25 GB/T5783-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,
